Date,actual,predicted
2025-11-24,16639.0,15941.140765124484
2025-11-25,16645.0,15921.882784308813
2025-11-26,16633.5,15926.968844603027
2025-11-27,16614.69921875,15917.969619340387
2025-11-28,16603.900390625,15932.995499569712
2025-12-01,16635.0,15922.597316824327
2025-12-02,16609.0,15941.037680775593
2025-12-03,16609.900390625,15945.477248616598
2025-12-04,16594.0,15943.787979229404
2025-12-05,16654.400390625,15955.36394488109
2025-12-08,16683.0,15951.90818381248
2025-12-09,16686.0,15965.609341638312
2025-12-10,16662.0,15976.108537756716
2025-12-11,16639.0,15971.464811780632
2025-12-12,16649.0,15984.84213483414
2025-12-15,16623.099609375,16002.429076663808
2025-12-16,16645.80078125,16014.34978939398
2025-12-17,16644.599609375,16025.630232783184
